col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
30899,617985,527,3.750,0,486.374,0.000,0.000,40.626,1.000,0.000,4,525.330,2.048,21.398,0.004,0.184351,29.424,525.389,2.057,22.083,-0.009,0.216929,22.083,17.292,525.420,15.938,35
30900,618005,527,3.633,0,486.374,0.000,0.000,40.626,1.000,0.000,4,525.638,1.670,19.243,-0.247,0.184351,29.424,525.772,1.611,19.931,-0.261,0.237572,19.999,15.248,525.803,14.078,35
30901,618025,518,3.680,0,486.546,0.000,0.000,31.454,1.000,0.000,4,524.230,-7.638,21.644,-0.501,0.184351,29.424,524.189,-7.772,22.426,-0.523,0.203634,22.700,18.077,524.109,15.938,35
30902,618045,534,3.594,0,486.546,0.000,0.000,47.454,1.000,0.000,4,526.031,9.770,24.048,0.341,0.184351,29.424,526.022,9.811,24.961,0.318,0.186782,25.062,20.381,526.415,14.674,35
30903,618065,526,3.680,0,486.374,0.000,0.000,39.626,1.000,0.000,4,526.025,-0.031,22.224,0.028,0.184351,29.424,526.017,-0.022,22.859,-0.015,0.210283,22.859,18.052,526.336,18.778,35
30904,618085,527,3.648,0,486.374,0.000,0.000,40.626,1.000,0.000,4,526.205,0.975,22.215,0.123,0.184351,29.424,526.223,0.983,22.846,0.086,0.209863,22.853,18.057,526.499,14.078,35
30905,618105,526,3.625,0,486.374,0.000,0.000,39.626,1.000,0.000,4,526.167,-0.205,21.320,-0.100,0.184351,29.424,526.175,-0.223,21.949,-0.136,0.218027,21.967,17.178,526.379,14.078,35
30906,618125,517,3.742,0,486.374,0.000,0.000,30.626,1.000,0.000,4,524.477,-9.167,24.764,-0.681,0.184351,29.424,524.496,-9.175,25.434,-0.705,0.182990,25.932,21.187,524.356,15.938,35
30907,618147,523,3.664,0,486.374,0.000,0.000,36.626,1.000,0.000,4,525.035,-2.495,23.673,-0.303,0.184351,29.424,524.974,-2.487,24.166,-0.293,0.206120,24.252,19.253,525.279,25.969,35
30908,618167,519,3.664,0,486.374,0.000,0.000,32.626,1.000,0.000,4,523.923,-6.035,24.889,-0.447,0.184351,29.424,523.809,-5.974,25.293,-0.423,0.195059,25.472,20.503,523.833,15.938,35
